,count,mean,std,min,25%,50%,75%,max
net_sales_million_ir,60.0,522466.98333333334,136960.2418441814,254639.0,400292.25,514307.5,638341.75,764903.0
margin_pct,60.0,22.7545,4.599637577837805,13.31,19.072499999999998,22.995,26.64,31.58
nps,60.0,21.414333333333335,10.185835689847197,-0.1,14.2425,21.509999999999998,28.4,43.15
sales_new_pct_of_sales,60.0,3.3388333333333335,1.8703866106894391,0.66,1.5975,3.3,4.455,8.6
pm_refrigerator_pct,60.0,38.267166666666654,2.151183428079283,34.85,36.595,38.25,40.019999999999996,43.03
pm_washer_pct,60.0,28.075833333333332,1.0181726597054899,25.99,27.32,28.060000000000002,28.5475,31.41
pm_oven_pct,60.0,17.9015,0.9686051914733642,15.11,17.3825,17.93,18.7375,19.84
pm_other_pct,60.0,15.755833333333333,2.2637641456973014,11.53,13.7025,15.785,17.73,19.78
cpi,60.0,199.7683333333333,58.99556573875836,100.7,150.65,199.85000000000002,246.27499999999998,300.5
net_sales_adj,60.0,798419.0901320581,81059.87848267448,613624.8556535685,742881.1540807447,784220.3984451961,832224.0682827876,1052293.2620087336
